Rank,Name,G,W.L,R,PG
282,UMES,53,12-41,214,4.0
283,UAB,54,21-33,217,4.0
284,Saint Joseph's,48,21-27,190,4.0
286,St. Bonaventure,43,10-33,170,4.0
287,Holy Cross,45,18-27,177,3.9
288,Lamar University,55,19-36,215,3.9
289,Chicago St.,54,13-41,206,3.8
290,Purdue Fort Wayne,48,11-37,183,3.8
291,Fairleigh Dickinson,47,10-37,178,3.8
292,William & Mary,54,15-39,203,3.8
293,Princeton,37,10-27,139,3.8
294,Appalachian St.,54,18-36,190,3.5
295,Savannah St.,41,7-34,144,3.5
296,Charleston So.,54,19-35,184,3.4
297,Saint Peter's,44,2-42,119,2.7
