Rank,Name,G,W.L,R,PG
1,Tennessee Tech,65,53-12,639,9.8
2,Morehead St.,63,37-26,529,8.4
3,Texas Tech,65,45-20,529,8.1
4,Coastal Caro.,62,43-19,499,8.0
5,Mercer,60,38-22,479,8.0
6,Southern Miss.,62,44-18,493,8.0
8,Wright St.,56,39-17,435,7.8
9,Oregon St.,68,55-12-1,518,7.6
10,DBU,63,42-21,467,7.4
11,Air Force,54,24-30,400,7.4
12,Murray St.,56,27-29,410,7.3
13,UNC Greensboro,54,39-15,394,7.3
14,Eastern Ky.,61,30-31,445,7.3
15,UNLV,59,35-24,423,7.2
16,Kentucky,56,34-22,397,7.1
17,Auburn,66,43-23,467,7.1
18,Jacksonville St.,57,32-25,403,7.1
20,North Carolina,64,44-20,452,7.1
21,Northern Colo.,53,29-24,374,7.1
22,Troy,63,42-21,442,7.0
23,Arkansas,69,48-21,482,7.0
24,NC State,60,42-18,419,7.0
25,Ole Miss,65,48-17,451,6.9
26,UCLA,59,38-21,409,6.9
27,Alabama St.,52,30-22,360,6.9
28,Louisville,64,45-19,443,6.9
29,Grambling,52,26-26,359,6.9
30,Canisius,57,35-22,393,6.9
31,Arizona,56,34-22,385,6.9
32,Jackson St.,52,34-18,357,6.9
33,Bradley,51,32-19,350,6.9
34,Kent St.,58,40-18,394,6.8
35,Nevada,53,29-24,357,6.7
36,Minnesota,59,44-15,397,6.7
37,Texas Southern,55,27-28,370,6.7
38,South Alabama,57,32-25,383,6.7
39,Bryant,56,32-23-1,376,6.7
40,Saint Louis,58,38-20,388,6.7
41,Florida St.,62,43-19,414,6.7
42,Wofford,59,36-23,393,6.7
43,Illinois St.,52,22-30,346,6.7
44,VMI,53,26-27,352,6.6
45,Indiana St.,55,31-24,365,6.6
46,Duke,63,45-18,416,6.6
47,Wichita St.,57,35-21-1,375,6.6
48,Niagara,51,24-27,335,6.6
49,Florida,70,49-21,459,6.6
50,California,54,32-22,353,6.5
51,Fla. Atlantic,63,43-19-1,411,6.5
52,Grand Canyon,57,33-24,371,6.5
53,Nebraska,52,24-28,337,6.5
54,Georgia Tech,58,31-27,375,6.5
55,Baylor,58,37-21,374,6.4
56,Clemson,63,47-16,406,6.4
57,Middle Tenn.,55,27-27-1,354,6.4
58,Georgia,60,39-21,385,6.4
60,Stanford,58,46-12,372,6.4
61,Southeast Mo. St.,57,27-30,365,6.4
62,Liberty,58,32-26,371,6.4
63,ETSU,53,28-25,339,6.4
64,Central Ark.,57,32-25,364,6.4
65,Incarnate Word,55,29-26,351,6.4
66,St. John's (NY),57,40-17,363,6.4
67,Florida A&M,55,25-30,350,6.4
68,Missouri St.,57,40-17,362,6.4
69,Creighton,50,34-16,317,6.3
70,High Point,56,34-22,355,6.3
71,Louisiana Tech,59,39-20,374,6.3
72,East Carolina,62,44-18,393,6.3
73,Valparaiso,53,19-34,334,6.3
74,Michigan,54,33-21,339,6.3
75,Illinois,53,33-20,332,6.3
76,South Fla.,59,36-22-1,369,6.3
77,N.C. Central,52,28-24,325,6.3
78,Vanderbilt,62,35-27,386,6.2
79,San Diego St.,60,39-21,373,6.2
80,Harvard,42,22-20,261,6.2
81,Davidson,54,33-21,335,6.2
82,N.C. A&T,57,32-25,353,6.2
83,South Carolina,63,37-26,390,6.2
84,Oral Roberts,58,38-20,358,6.2
85,Eastern Ill.,54,23-31,333,6.2
86,UTSA,56,32-24,344,6.1
87,Monmouth,55,30-25,337,6.1
88,Oklahoma,63,38-25,386,6.1
89,A&M-Corpus Christi,56,30-26,343,6.1
90,Indiana,59,40-19,360,6.1
91,Nicholls St.,60,28-32,362,6.0
92,Jacksonville,61,40-21,368,6.0
93,Rutgers,50,25-25,301,6.0
94,Missouri,56,34-22,337,6.0
95,Seattle U,57,34-23,342,6.0
100,Northwestern St.,62,38-24,371,6.0
101,Northeastern,57,36-21,341,6.0
102,Iowa,53,33-20,317,6.0
103,Elon,59,36-23,352,6.0
104,Navy,54,38-16,321,5.9
105,Texas A&M,62,40-22,368,5.9
106,Central Mich.,60,29-30-1,356,5.9
107,TCU,56,33-23,332,5.9
108,Sam Houston St.,59,39-20,349,5.9
109,Charlotte,58,34-24,343,5.9
111,FGCU,53,32-21,313,5.9
112,Campbell,61,35-26,360,5.9
113,South Dakota St.,50,18-32,295,5.9
114,LSU,66,39-27,388,5.9
115,Purdue,59,38-21,346,5.9
116,Seton Hall,51,30-20-1,299,5.9
117,Oklahoma St.,58,31-26-1,340,5.9
118,Texas,65,42-23,380,5.8
119,Quinnipiac,56,26-30,327,5.8
120,Fresno St.,54,30-24,315,5.8
121,Ball St.,58,32-26,338,5.8
122,Coppin St.,45,21-24,262,5.8
123,Marist,50,27-23,291,5.8
124,Tulane,58,25-33,337,5.8
125,Dartmouth,40,17-22-1,232,5.8
126,Abilene Christian,54,21-33,313,5.8
127,Kansas,57,27-30,327,5.7
128,UCF,56,35-21,321,5.7
129,Southeastern La.,59,37-22,338,5.7
130,Kennesaw St.,55,25-30,315,5.7
131,LIU Brooklyn,57,31-26,326,5.7
132,Xavier,55,20-35,314,5.7
133,La.-Monroe,54,23-31,308,5.7
134,West Virginia,56,29-27,319,5.7
135,Wagner,56,38-18,318,5.7
136,CSUN,58,28-30,329,5.7
138,Stetson,61,48-13,346,5.7
139,SFA,53,17-36,300,5.7
140,Belmont,55,19-36,311,5.7
142,Arizona St.,55,23-32,310,5.6
143,Marshall,50,19-31,281,5.6
144,Samford,63,37-26,354,5.6
145,Furman,52,24-28,292,5.6
146,Cal Poly,57,30-27,320,5.6
147,New Mexico,54,20-33-1,303,5.6
148,Arkansas St.,52,20-32,291,5.6
149,Virginia Tech,54,21-33,302,5.6
151,UIC,48,30-18,268,5.6
153,Col. of Charleston,55,36-19,307,5.6
154,Milwaukee,54,26-28,301,5.6
155,Notre Dame,54,24-30,299,5.5
156,Alabama,56,27-29,310,5.5
157,UConn,60,37-22-1,332,5.5
159,Miami (OH),55,35-20,304,5.5
160,USC Upstate,52,23-28-1,285,5.5
161,Radford,57,25-32,312,5.5
162,North Florida,56,28-28,305,5.4
163,Ark.-Pine Bluff,45,20-25,245,5.4
165,Fordham,55,35-19-1,299,5.4
166,Army West Point,61,37-24,331,5.4
167,Cincinnati,56,28-28,303,5.4
168,San Diego,55,23-32,297,5.4
169,Northern Ky.,53,14-39,284,5.4
170,Southern U.,42,9-33,225,5.4
171,Maine,54,20-34,289,5.4
172,Cornell,37,14-22-1,198,5.4
173,Georgia St.,55,26-29,294,5.3
174,Oakland,47,15-32,251,5.3
175,Richmond,56,32-24,299,5.3
176,Houston Baptist,59,29-30,315,5.3
177,Stony Brook,57,32-25,304,5.3
178,Santa Clara,52,26-26,277,5.3
179,UNCW,62,39-23,330,5.3
180,North Dakota St.,50,26-24,264,5.3
181,New Orleans,61,29-32,322,5.3
182,Kansas St.,54,23-31,285,5.3
183,Tennessee,56,29-27,295,5.3
184,George Mason,56,29-27,294,5.3
185,Wake Forest,57,25-32,299,5.2
186,Prairie View,54,14-40,283,5.2
187,UC Santa Barbara,56,27-28-1,293,5.2
188,Presbyterian,54,15-39,281,5.2
189,Texas St.,59,30-28-1,307,5.2
190,VCU,57,34-23,296,5.2
191,Houston,63,38-25,327,5.2
192,McNeese,58,25-33,301,5.2
193,Bethune-Cookman,58,24-34,300,5.2
194,San Jose St.,57,27-30,294,5.2
195,Fairfield,51,22-29,263,5.2
196,Dayton,52,21-31,268,5.2
197,Rice,59,26-31-2,304,5.2
198,UC Irvine,56,32-24,288,5.1
199,James Madison,52,26-26,266,5.1
200,BYU,50,22-28,255,5.1
201,Sacred Heart,52,17-35,265,5.1
202,Mt. St. Mary's,54,21-33,275,5.1
203,Gonzaga,57,33-24,290,5.1
204,Northwestern,49,17-32,248,5.1
205,Columbia,50,20-30,253,5.1
206,UT Martin,51,11-40,258,5.1
207,Ohio,53,21-32,268,5.1
208,Ga. Southern,56,30-26,282,5.0
209,Maryland,54,24-30,271,5.0
210,Yale,43,22-21,215,5.0
214,Washington,61,35-26,304,5.0
215,Eastern Mich.,56,22-34,279,5.0
216,Western Ky.,52,21-31,259,5.0
217,Pepperdine,55,31-24,273,5.0
218,Little Rock,56,28-28,277,4.9
219,Boston College,49,17-32,241,4.9
220,Louisiana,59,34-25,290,4.9
221,Georgetown,55,25-30,270,4.9
222,UC Davis,53,18-35,260,4.9
223,Old Dominion,52,15-37,253,4.9
224,Manhattan,53,25-28,257,4.8
225,UMass Lowell,54,25-29,261,4.8
226,UMBC,51,22-29,246,4.8
227,Cal St. Fullerton,61,36-25,293,4.8
228,Saint Mary's (CA),54,31-23,259,4.8
230,Lehigh,49,22-27,234,4.8
231,Hartford,57,26-31,272,4.8
232,Bucknell,45,17-27-1,213,4.7
233,Winthrop,56,25-31,265,4.7
234,Youngstown St.,56,18-38,263,4.7
235,Rider,47,12-35,220,4.7
236,Lafayette,51,16-34-1,238,4.7
237,Western Caro.,58,11-47,270,4.7
238,Towson,55,13-42,256,4.7
240,Alabama A&M,49,12-37,228,4.7
241,Siena,56,21-35,260,4.6
242,Brown,37,11-26,171,4.6
243,Norfolk St.,49,19-30,226,4.6
244,UT Arlington,57,22-35,262,4.6
245,Southern California,54,26-28,248,4.6
246,Evansville,51,12-39,234,4.6
247,Central Conn. St.,46,18-28,211,4.6
248,CSU Bakersfield,57,21-36,261,4.6
249,Alcorn,52,13-39,238,4.6
250,Penn St.,49,15-34,223,4.6
251,Albany (NY),48,20-28,218,4.5
252,UNC Asheville,51,13-38,231,4.5
253,Pacific,51,22-29,230,4.5
254,UTRGV,54,23-31,243,4.5
256,UC Riverside,52,19-33,233,4.5
258,The Citadel,53,19-34,237,4.5
259,Omaha,50,15-35,221,4.4
260,Portland,53,23-30,234,4.4
261,Mississippi Val.,46,11-35,203,4.4
262,NJIT,47,22-25,207,4.4
263,La Salle,55,14-41,242,4.4
264,Washington St.,50,16-33-1,219,4.4
265,Utah Valley,52,15-37,227,4.4
266,Long Beach St.,57,27-30,248,4.4
267,Iona,47,16-31,204,4.3
268,Hawaii,51,27-24,220,4.3
269,Oregon,55,26-29,236,4.3
270,Michigan St.,52,20-32,223,4.3
271,Delaware,58,31-27,248,4.3
272,Rhode Island,51,24-27,217,4.3
273,San Francisco,58,28-30,246,4.2
274,Massachusetts,44,15-29,186,4.2
275,Longwood,55,17-38,229,4.2
276,Memphis,56,20-36,232,4.1
277,Delaware St.,44,9-35,182,4.1
278,Northern Ill.,56,20-36,231,4.1
279,Binghamton,49,18-30-1,201,4.1
280,Western Ill.,48,17-31,195,4.1
281,Bowling Green,50,11-39,202,4.0
