Name,Rank,G,W.L,AB,H,BA
Tennessee Tech,1,65,53-12,2370,788,0.332
UNC Greensboro,2,54,39-15,1917,624,0.326
Oregon St.,3,68,55-12-1,2345,753,0.321
Morehead St.,4,63,37-26,2325,734,0.316
New Mexico St.,5,62,40-22,2113,656,0.31
UNLV,6,59,35-24,2134,662,0.31
Air Force,7,54,24-30,1953,605,0.31
Texas Tech,8,65,45-20,2249,695,0.309
Jackson St.,9,52,34-18,1753,532,0.303
Bryant,10,56,32-23-1,1932,585,0.303
Mercer,11,60,38-22,2101,635,0.302
Texas Southern,12,55,27-28,1859,561,0.302
Southern Miss.,13,62,44-18,2166,651,0.301
San Diego St.,14,60,39-21,2103,632,0.301
Alabama St.,15,52,30-22,1821,547,0.3
Ole Miss,16,65,48-17,2200,660,0.3
Minnesota,17,59,44-15,2019,605,0.3
Fresno St.,18,54,30-24,1872,559,0.299
Nevada,19,53,29-24,1846,549,0.297
St. John's (NY),20,57,40-17,1958,582,0.297
DBU,21,63,42-21,2184,648,0.297
Eastern Ky.,22,61,30-31,2169,643,0.29600000000000004
Arkansas,23,69,48-21,2347,695,0.29600000000000004
Troy,24,63,42-21,2158,638,0.29600000000000004
South Fla.,25,59,36-22-1,2050,606,0.29600000000000004
Grand Canyon,26,57,33-24,1968,581,0.295
Northern Colo.,27,53,29-24,1836,541,0.295
Bradley,28,51,32-19,1729,509,0.294
Kentucky,29,56,34-22,1880,553,0.294
Wright St.,30,56,39-17,1954,574,0.294
Louisville,31,64,45-19,2139,625,0.292
Incarnate Word,32,55,29-26,1907,557,0.292
Georgia Tech,33,58,31-27,2040,593,0.29100000000000004
Arizona St.,34,55,23-32,1890,549,0.29
Grambling,35,52,26-26,1715,498,0.29
Coastal Caro.,36,62,43-19,2116,614,0.29
Cal Poly,37,57,30-27,1989,577,0.29
A&M-Corpus Christi,38,56,30-26,1958,568,0.29
Jacksonville,39,61,40-21,2062,598,0.29
San Jose St.,40,57,27-30,1964,567,0.289
Wichita St.,41,57,35-21-1,1937,559,0.289
East Carolina,42,62,44-18,2063,595,0.28800000000000003
FIU,43,54,26-28,1829,527,0.28800000000000003
San Diego,44,55,23-32,1913,551,0.28800000000000003
NC State,45,60,42-18,2040,587,0.28800000000000003
Texas A&M,46,62,40-22,2171,624,0.287
California,48,54,32-22,1880,540,0.287
Kent St.,49,58,40-18,1984,569,0.287
ETSU,50,53,28-25,1839,527,0.287
Navy,51,54,38-16,1837,526,0.28600000000000003
Murray St.,52,56,27-29,1900,544,0.28600000000000003
Central Ark.,53,57,32-25,1949,558,0.28600000000000003
UCLA,54,59,38-21,2005,574,0.28600000000000003
Baylor,55,58,37-21,1993,570,0.28600000000000003
Niagara,56,51,24-27,1742,498,0.28600000000000003
North Carolina,57,64,44-20,2207,629,0.285
George Washington,58,58,32-26,2008,572,0.285
Arizona,59,56,34-22,1865,531,0.285
UTSA,60,56,32-24,1904,541,0.284
Oral Roberts,61,58,38-20,1961,557,0.284
VMI,62,53,26-27,1794,509,0.284
Indiana,63,59,40-19,2021,573,0.284
LSU,64,66,39-27,2196,622,0.28300000000000003
Florida A&M,65,55,25-30,1816,514,0.28300000000000003
High Point,66,56,34-22,1961,555,0.28300000000000003
Ohio St.,67,60,36-24,2071,586,0.28300000000000003
Georgia,68,60,39-21,2065,584,0.28300000000000003
UConn,69,60,37-22-1,2077,587,0.28300000000000003
Auburn,70,66,43-23,2223,626,0.282
Louisiana Tech,71,59,39-20,2020,568,0.281
Saint Louis,72,58,38-20,1981,557,0.281
Seattle U,73,57,34-23,1860,522,0.281
Coppin St.,74,45,21-24,1451,407,0.28
UC Irvine,75,56,32-24,1901,533,0.28
West Virginia,76,56,29-27,1926,540,0.28
Purdue,77,59,38-21,1919,538,0.28
Duke,78,63,45-18,2162,606,0.28
Canisius,79,57,35-22,1966,551,0.28
Quinnipiac,80,56,26-30,1907,534,0.28
Middle Tenn.,81,55,27-27-1,1926,539,0.28
Southeast Mo. St.,82,57,27-30,1955,547,0.28
FGCU,83,53,32-21,1823,510,0.28
Sam Houston St.,84,59,39-20,1998,558,0.279
Nicholls St.,85,60,28-32,2009,561,0.279
Old Dominion,86,52,15-37,1778,496,0.279
New Mexico,87,54,20-33-1,1854,517,0.279
Milwaukee,88,54,26-28,1844,514,0.279
Col. of Charleston,89,55,36-19,1835,511,0.278
Charlotte,90,58,34-24,2013,560,0.278
UC Davis,91,53,18-35,1841,512,0.278
Stanford,92,58,46-12,1936,538,0.278
Bethune-Cookman,93,58,24-34,1944,539,0.277
Mississippi St.,94,68,39-29,2417,670,0.277
Marist,95,50,27-23,1632,452,0.277
Jacksonville St.,96,57,32-25,2063,571,0.277
Indiana St.,97,55,31-24,1915,530,0.277
Marshall,98,50,19-31,1760,487,0.277
Rice,99,59,26-31-2,2000,553,0.277
Austin Peay,100,57,30-27,1958,541,0.276
Gardner-Webb,101,58,31-27,1945,537,0.276
Siena,102,56,21-35,1820,502,0.276
Oklahoma,103,63,38-25,2150,593,0.276
Xavier,104,55,20-35,1918,529,0.276
