Name,Rank,G,W.L,AB,H,BA
Cal St. Fullerton,178,63,39-24,2109,563,0.267
Troy,179,56,31-25,1911,510,0.267
UNCW,180,59,30-29,2001,534,0.267
Sacramento St.,181,61,32-29,2106,562,0.267
Nicholls St.,182,56,29-27,1829,488,0.267
Wichita St.,183,58,28-30,1979,528,0.267
Liberty,184,55,32-23,1894,505,0.267
Northeastern,185,54,29-25,1842,491,0.267
Harvard,186,42,19-23,1355,361,0.266
Tulane,187,58,27-31,1945,518,0.266
Lipscomb,188,56,28-28,1883,501,0.266
Louisiana,189,57,35-21-1,1936,515,0.266
Oklahoma St.,190,57,30-27,1927,512,0.266
Oakland,191,57,17-40,1974,524,0.265
Marshall,192,54,25-29,1831,486,0.265
Hawaii,193,51,28-23,1690,448,0.265
Campbell,194,57,25-32,1932,512,0.265
Memphis,195,59,30-29,2013,533,0.265
Brown,196,37,13-24,1176,311,0.264
Illinois,197,51,23-28,1780,470,0.264
Central Ark.,198,60,34-26,1980,522,0.264
Lehigh,199,50,21-29,1613,425,0.263
Niagara,200,48,24-24,1621,427,0.263
VMI,201,58,24-34,1996,525,0.263
Buffalo,202,51,17-34,1731,455,0.263
Alabama,203,54,19-34-1,1812,476,0.263
Prairie View,204,57,20-37,1868,490,0.262
Missouri,205,59,36-23,1993,522,0.262
Hofstra,206,51,14-37,1716,449,0.262
Southern Ill.,207,57,27-30,1933,505,0.261
CSUN,208,55,26-29,1835,479,0.261
Washington,209,54,28-26,1794,468,0.261
Longwood,210,53,19-34,1810,472,0.261
North Dakota St.,211,56,31-25,1815,473,0.261
NJIT,212,49,9-40,1678,437,0.26
Wright St.,213,59,38-21,1994,519,0.26
Albany (NY),214,52,26-26,1700,442,0.26
High Point,215,53,30-23,1778,462,0.26
Ohio St.,216,56,22-34,1880,488,0.26
South Carolina,217,60,35-25,2019,524,0.26
Rider,218,53,24-28-1,1735,450,0.259
Fordham,219,51,27-24,1666,432,0.259
Iona,220,51,25-26,1625,421,0.259
UAB,221,55,24-31,1777,460,0.259
UC Riverside,222,54,22-32,1901,492,0.259
Western Ill.,223,50,18-32,1619,419,0.259
Florida,224,71,52-19,2338,605,0.259
San Jose St.,225,55,19-35-1,1828,473,0.259
Coppin St.,226,42,11-31,1343,347,0.258
Santa Clara,227,53,13-40,1802,465,0.258
Delaware St.,228,47,22-25,1504,388,0.258
Purdue,229,56,29-27,1853,478,0.258
UCLA,230,57,30-27,1904,491,0.258
Tennessee,231,52,27-25,1754,452,0.258
Holy Cross,232,53,24-29,1716,442,0.258
Georgia,233,57,25-32,1908,491,0.257
Oregon,234,55,30-25,1772,456,0.257
Seton Hall,235,53,29-24,1773,456,0.257
Youngstown St.,236,55,15-40,1882,484,0.257
La.-Monroe,237,55,12-43,1873,481,0.257
Northwestern,238,57,27-30,1881,483,0.257
Sacred Heart,239,59,23-36,1955,502,0.257
Purdue Fort Wayne,240,52,9-43,1734,445,0.257
UConn,241,58,33-25,1948,499,0.256
Miami (OH),242,56,22-34,1855,475,0.256
Creighton,243,49,24-25,1604,410,0.256
Southeastern La.,244,59,37-22,1937,494,0.255
Army West Point,245,56,25-31,1804,460,0.255
Butler,246,51,31-20,1710,436,0.255
Texas Southern,247,54,20-34,1840,469,0.255
Radford,248,59,27-32,2006,511,0.255
Eastern Mich.,249,62,27-35,2098,534,0.255
Illinois St.,250,56,16-40,1933,492,0.255
Western Ky.,251,55,16-39,1852,471,0.254
Saint Joseph's,252,46,21-25,1586,403,0.254
Arkansas St.,253,55,28-27,1792,455,0.254
Elon,254,56,24-32,1850,469,0.254
Boston College,255,53,25-28,1708,432,0.253
Ole Miss,256,57,32-25,1843,466,0.253
Savannah St.,257,51,12-39,1670,422,0.253
Pacific,258,53,18-35,1765,446,0.253
Kansas,259,58,30-28,1875,473,0.252
Southern U.,260,44,17-27,1404,354,0.252
Alcorn,261,45,12-33,1497,377,0.252
Quinnipiac,262,50,18-32,1672,421,0.252
Texas,263,63,39-24,2018,508,0.252
Cincinnati,264,58,28-30,1905,478,0.251
Chicago St.,265,52,11-41,1744,436,0.25
Notre Dame,266,58,26-32,1897,474,0.25
George Mason,267,59,26-33,1995,497,0.249
Georgia St.,268,55,22-33,1794,446,0.249
Evansville,269,57,18-39,1952,485,0.248
Toledo,270,58,17-41,1985,492,0.248
Northern Ill.,271,55,17-38,1844,457,0.248
Ark.-Pine Bluff,272,46,15-31,1540,381,0.247
Princeton,273,41,12-28-1,1325,327,0.247
UMES,274,52,12-40,1678,414,0.247
Pepperdine,275,52,20-32,1839,453,0.246
Pittsburgh,276,53,23-30,1725,423,0.245
Appalachian St.,277,55,19-36,1829,448,0.245
Omaha,278,52,12-40,1661,406,0.244
Dayton,279,55,20-35,1830,447,0.244
Towson,280,54,20-34,1815,443,0.244
Bowling Green,281,49,15-34,1666,404,0.242
Northwestern St.,282,54,20-34,1755,425,0.242
Mt. St. Mary's,283,47,8-39,1524,369,0.242
Massachusetts,284,47,15-32,1543,372,0.241
Saint Peter's,285,38,0-38,1185,285,0.241
The Citadel,286,51,16-35,1696,402,0.237
Alabama A&M,287,57,12-45,1851,434,0.234
Penn St.,288,55,18-37,1805,423,0.234
Miami (FL),289,58,31-27,1857,429,0.231
La Salle,290,51,10-41,1688,386,0.229
Portland,291,52,10-41-1,1729,392,0.227
Villanova,292,47,14-33,1541,343,0.223
UNC Asheville,293,57,25-32,1880,417,0.222
Mississippi Val.,294,41,7-34,1333,293,0.22
NYIT,295,42,5-36-1,1274,271,0.213
